Qa4#,Queen,a4,Black,Not Capture,Not Promotion
Rh8#,Rook,h8,White,Not Capture,Not Promotion
Qb6#,Queen,b6,White,Not Capture,Not Promotion
Qhh1#,Queen,h1,White,Not Capture,Not Promotion
Qa1#,Queen,a1,Black,Not Capture,Not Promotion
Rh2#,Rook,h2,Black,Not Capture,Not Promotion
Qh8#,Queen,h8,White,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
Qh1#,Queen,h1,Black,Not Capture,Not Promotion
Rxa6#,Rook,a6,Black,Capture,Not Promotion
Rh7#,Rook,h7,White,Not Capture,Not Promotion
Rb1#,Rook,b1,Black,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Qd1#,Queen,d1,Black,Not Capture,Not Promotion
Qxc8#,Queen,c8,White,Capture,Not Promotion
Rf2#,Rook,f2,Black,Not Capture,Not Promotion
Rh8#,Rook,h8,White,Not Capture,Not Promotion
Re8#,Rook,e8,White,Not Capture,Not Promotion
Rgf2#,Rook,f2,White,Not Capture,Not Promotion
Qe5#,Queen,e5,White,Not Capture,Not Promotion
Bf6#,Bishop,f6,White,Not Capture,Not Promotion
a1=Q#,Pawn,a1,Black,Not Capture,Promotion
Rxf1#,Rook,f1,Black,Capture,Not Promotion
Rd5#,Rook,d5,Black,Not Capture,Not Promotion
Rh2#,Rook,h2,Black,Not Capture,Not Promotion
Qg4#,Queen,g4,Black,Not Capture,Not Promotion
Qg1#,Queen,g1,Black,Not Capture,Not Promotion
Be1#,Bishop,e1,Black,Not Capture,Not Promotion
Qh2#,Queen,h2,Black,Not Capture,Not Promotion
Re5#,Rook,e5,White,Not Capture,Not Promotion
Qxc2#,Queen,c2,Black,Capture,Not Promotion
Rh8#,Rook,h8,White,Not Capture,Not Promotion
Rxh2#,Rook,h2,Black,Capture,Not Promotion
Bxd4#,Bishop,d4,Black,Capture,Not Promotion
Qh7#,Queen,h7,White,Not Capture,Not Promotion
Qg4#,Queen,g4,White,Not Capture,Not Promotion
Qg8#,Queen,g8,White,Not Capture,Not Promotion
Qee8#,Queen,e8,White,Not Capture,Not Promotion
Rb8#,Rook,b8,White,Not Capture,Not Promotion
Q3e5#,Queen,e5,White,Not Capture,Not Promotion
Rf7#,Rook,f7,White,Not Capture,Not Promotion
Qe1#,Queen,e1,Black,Not Capture,Not Promotion
Qg7#,Queen,g7,Black,Not Capture,Not Promotion
Qg3#,Queen,g3,Black,Not Capture,Not Promotion
Qxe6#,Queen,e6,White,Capture,Not Promotion
Qxg7#,Queen,g7,White,Capture,Not Promotion
Rc1#,Rook,c1,Black,Not Capture,Not Promotion
Qc2#,Queen,c2,Black,Not Capture,Not Promotion
e1=Q#,Pawn,e1,Black,Not Capture,Promotion
Qg4#,Queen,g4,Black,Not Capture,Not Promotion
Bf6#,Bishop,f6,White,Not Capture,Not Promotion
Rh3#,Rook,h3,White,Not Capture,Not Promotion
Rh1#,Rook,h1,Black,Not Capture,Not Promotion
Qe6#,Queen,e6,White,Not Capture,Not Promotion
Qe2#,Queen,e2,White,Not Capture,Not Promotion
Ra1#,Rook,a1,Black,Not Capture,Not Promotion
Rh7#,Rook,h7,White,Not Capture,Not Promotion
Qbb3#,Queen,b3,Black,Not Capture,Not Promotion
Qh6#,Queen,h6,White,Not Capture,Not Promotion
Qc1#,Queen,c1,Black,Not Capture,Not Promotion
Qa8#,Queen,a8,White,Not Capture,Not Promotion
Qf6#,Queen,f6,White,Not Capture,Not Promotion
Qg8#,Queen,g8,White,Not Capture,Not Promotion
Qg1#,Queen,g1,Black,Not Capture,Not Promotion
Ng5#,Knight,g5,Black,Not Capture,Not Promotion
Rxg1#,Rook,g1,Black,Capture,Not Promotion
Bh7#,Bishop,h7,White,Not Capture,Not Promotion
Qc7#,Queen,c7,White,Not Capture,Not Promotion
Rxh6#,Rook,h6,White,Capture,Not Promotion
Qh7#,Queen,h7,White,Not Capture,Not Promotion
Qd8#,Queen,d8,White,Not Capture,Not Promotion
Bc6#,Bishop,c6,Black,Not Capture,Not Promotion
Rh8#,Rook,h8,Black,Not Capture,Not Promotion
hxg5#,Pawn,g5,White,Capture,Not Promotion
R8b4#,Rook,b4,Black,Not Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Qdg4#,Queen,g4,Black,Not Capture,Not Promotion
Qh4#,Queen,h4,White,Not Capture,Not Promotion
Rd3#,Rook,d3,Black,Not Capture,Not Promotion
Re2#,Rook,e2,Black,Not Capture,Not Promotion
Qxe7#,Queen,e7,White,Capture,Not Promotion
Rg8#,Rook,g8,White,Not Capture,Not Promotion
Bb4#,Bishop,b4,White,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
g3#,Pawn,g3,White,Not Capture,Not Promotion
Rh8#,Rook,h8,White,Not Capture,Not Promotion
Rxh2#,Rook,h2,Black,Capture,Not Promotion
Qh6#,Queen,h6,White,Not Capture,Not Promotion
Qh2#,Queen,h2,Black,Not Capture,Not Promotion
Qe8#,Queen,e8,Black,Not Capture,Not Promotion
Qd1#,Queen,d1,Black,Not Capture,Not Promotion
Qh8#,Queen,h8,White,Not Capture,Not Promotion
Qxh2#,Queen,h2,Black,Capture,Not Promotion
Rxa5#,Rook,a5,Black,Capture,Not Promotion
