1539,Qb5#,Queen,b5,White,Not Capture,Not Promotion
1565,Qbb7#,Queen,b7,White,Not Capture,Not Promotion
1571,Qb2#,Queen,b2,Black,Not Capture,Not Promotion
1577,Re1#,Rook,e1,Black,Not Capture,Not Promotion
1580,Qg4#,Queen,g4,White,Not Capture,Not Promotion
1586,Qf2#,Queen,f2,Black,Not Capture,Not Promotion
1591,Qf8#,Queen,f8,White,Not Capture,Not Promotion
1598,Rf1#,Rook,f1,Black,Not Capture,Not Promotion
1605,Rxf8#,Rook,f8,White,Capture,Not Promotion
1606,Qxf5#,Queen,f5,White,Capture,Not Promotion
1607,Qg8#,Queen,g8,White,Not Capture,Not Promotion
1609,Ra1#,Rook,a1,Black,Not Capture,Not Promotion
1614,Rh8#,Rook,h8,White,Not Capture,Not Promotion
1618,Qg6#,Queen,g6,White,Not Capture,Not Promotion
1629,Qxg2#,Queen,g2,Black,Capture,Not Promotion
1636,Qxg2#,Queen,g2,Black,Capture,Not Promotion
1641,Qg1#,Queen,g1,Black,Not Capture,Not Promotion
1645,f6#,Pawn,f6,Black,Not Capture,Not Promotion
1651,Re1#,Rook,e1,Black,Not Capture,Not Promotion
1652,Rg8#,Rook,g8,White,Not Capture,Not Promotion
1665,Qe8#,Queen,e8,White,Not Capture,Not Promotion
1670,Qb8#,Queen,b8,White,Not Capture,Not Promotion
1689,Ng3#,Knight,g3,Black,Not Capture,Not Promotion
1700,Qg7#,Queen,g7,Black,Not Capture,Not Promotion
1705,Qe2#,Queen,e2,White,Not Capture,Not Promotion
1711,Qeb4#,Queen,b4,White,Not Capture,Not Promotion
1712,Qxg2#,Queen,g2,Black,Capture,Not Promotion
1719,Rc8#,Rook,c8,White,Not Capture,Not Promotion
1721,Qb2#,Queen,b2,White,Not Capture,Not Promotion
1751,Qg4#,Queen,g4,Black,Not Capture,Not Promotion
1755,Qe6#,Queen,e6,White,Not Capture,Not Promotion
1770,Qd3#,Queen,d3,Black,Not Capture,Not Promotion
1771,Qxh5#,Queen,h5,White,Capture,Not Promotion
1781,Qg7#,Queen,g7,White,Not Capture,Not Promotion
1783,g8=Q#,Pawn,g8,White,Not Capture,Promotion
1798,Qe7#,Queen,e7,White,Not Capture,Not Promotion
1812,Qh6#,Queen,h6,White,Not Capture,Not Promotion
1813,Qxg7#,Queen,g7,White,Capture,Not Promotion
1818,Qxf6#,Queen,f6,White,Capture,Not Promotion
1836,Rc1#,Rook,c1,Black,Not Capture,Not Promotion
1842,Rh2#,Rook,h2,Black,Not Capture,Not Promotion
1845,Qbb8#,Queen,b8,Black,Not Capture,Not Promotion
1851,Rh1#,Rook,h1,Black,Not Capture,Not Promotion
1859,Qg2#,Queen,g2,Black,Not Capture,Not Promotion
1876,Qxg2#,Queen,g2,Black,Capture,Not Promotion
1887,Qe7#,Queen,e7,White,Not Capture,Not Promotion
1896,Qxf2#,Queen,f2,Black,Capture,Not Promotion
1900,Qef7#,Queen,f7,White,Not Capture,Not Promotion
1901,Rxd8#,Rook,d8,White,Capture,Not Promotion
1904,Nf3#,Knight,f3,Black,Not Capture,Not Promotion
1911,Ra6#,Rook,a6,Black,Not Capture,Not Promotion
1916,Qa2#,Queen,a2,Black,Not Capture,Not Promotion
1922,g8=Q#,Pawn,g8,White,Not Capture,Promotion
1934,Qg3#,Queen,g3,Black,Not Capture,Not Promotion
1942,Rd8#,Rook,d8,White,Not Capture,Not Promotion
1949,Qg2#,Queen,g2,Black,Not Capture,Not Promotion
1953,Qh1#,Queen,h1,White,Not Capture,Not Promotion
1954,Rh8#,Rook,h8,Black,Not Capture,Not Promotion
1956,Qf2#,Queen,f2,Black,Not Capture,Not Promotion
1958,Qd6#,Queen,d6,White,Not Capture,Not Promotion
1968,Bf3#,Bishop,f3,White,Not Capture,Not Promotion
2010,Qg7#,Queen,g7,White,Not Capture,Not Promotion
2035,Qf3#,Queen,f3,White,Not Capture,Not Promotion
2037,Ra8#,Rook,a8,White,Not Capture,Not Promotion
2047,Qxg2#,Queen,g2,Black,Capture,Not Promotion
2050,Qxg6#,Queen,g6,Black,Capture,Not Promotion
2052,Qh4#,Queen,h4,White,Not Capture,Not Promotion
2055,Qa5#,Queen,a5,Black,Not Capture,Not Promotion
2074,Qh7#,Queen,h7,White,Not Capture,Not Promotion
2085,Qe5#,Queen,e5,White,Not Capture,Not Promotion
2090,Qg2#,Queen,g2,White,Not Capture,Not Promotion
2093,Rc8#,Rook,c8,White,Not Capture,Not Promotion
2106,Qxg3#,Queen,g3,Black,Capture,Not Promotion
2114,Qgc1#,Queen,c1,Black,Not Capture,Not Promotion
2117,Re8#,Rook,e8,White,Not Capture,Not Promotion
2118,Qf7#,Queen,f7,White,Not Capture,Not Promotion
2121,Rd1#,Rook,d1,White,Not Capture,Not Promotion
2125,Qe2#,Queen,e2,Black,Not Capture,Not Promotion
2138,Qd7#,Queen,d7,White,Not Capture,Not Promotion
2139,Qh2#,Queen,h2,Black,Not Capture,Not Promotion
2140,Ra8#,Rook,a8,White,Not Capture,Not Promotion
2142,Rh6#,Rook,h6,White,Not Capture,Not Promotion
2173,Qe8#,Queen,e8,White,Not Capture,Not Promotion
2183,Rb7#,Rook,b7,White,Not Capture,Not Promotion
2191,Rg8#,Rook,g8,White,Not Capture,Not Promotion
2196,Rh2#,Rook,h2,Black,Not Capture,Not Promotion
2211,Ng3#,Knight,g3,Black,Not Capture,Not Promotion
2228,Rg7#,Rook,g7,White,Not Capture,Not Promotion
2257,Qxd8#,Queen,d8,White,Capture,Not Promotion
2264,Qxg3#,Queen,g3,Black,Capture,Not Promotion
2270,Qxg7#,Queen,g7,White,Capture,Not Promotion
2273,Qxf2#,Queen,f2,Black,Capture,Not Promotion
2282,Rh1#,Rook,h1,Black,Not Capture,Not Promotion
2292,Rh5#,Rook,h5,Black,Not Capture,Not Promotion
2306,f8=Q#,Pawn,f8,White,Not Capture,Promotion
2319,Qxg2#,Queen,g2,Black,Capture,Not Promotion
2324,Qd3#,Queen,d3,Black,Not Capture,Not Promotion
2332,Qh5#,Queen,h5,White,Not Capture,Not Promotion
2339,Qg2#,Queen,g2,Black,Not Capture,Not Promotion
2346,h4#,Pawn,h4,Black,Not Capture,Not Promotion
2356,Qg3#,Queen,g3,Black,Not Capture,Not Promotion
2357,Qg2#,Queen,g2,Black,Not Capture,Not Promotion
2358,Qh8#,Queen,h8,White,Not Capture,Not Promotion
2359,Qh5#,Queen,h5,White,Not Capture,Not Promotion
2361,Rh5#,Rook,h5,White,Not Capture,Not Promotion
2362,Qd7#,Queen,d7,White,Not Capture,Not Promotion
2366,Rh6#,Rook,h6,White,Not Capture,Not Promotion
2368,Rf8#,Rook,f8,White,Not Capture,Not Promotion
2369,Rd3#,Rook,d3,Black,Not Capture,Not Promotion
2384,Qe7#,Queen,e7,White,Not Capture,Not Promotion
2392,Nh3#,Knight,h3,Black,Not Capture,Not Promotion
2396,Rxg7#,Rook,g7,White,Capture,Not Promotion
2423,Qd1#,Queen,d1,Black,Not Capture,Not Promotion
2424,Rxf1#,Rook,f1,Black,Capture,Not Promotion
2425,Rh7#,Rook,h7,White,Not Capture,Not Promotion
2429,Qd1#,Queen,d1,Black,Not Capture,Not Promotion
2436,Qxf7#,Queen,f7,White,Capture,Not Promotion
2444,exf1=Q#,Pawn,f1,Black,Capture,Promotion
2445,Qc1#,Queen,c1,White,Not Capture,Not Promotion
2446,Ra8#,Rook,a8,White,Not Capture,Not Promotion
2461,Qe1#,Queen,e1,Black,Not Capture,Not Promotion
2474,Rg1#,Rook,g1,White,Not Capture,Not Promotion
2476,Qdc2#,Queen,c2,White,Not Capture,Not Promotion
2480,Qh5#,Queen,h5,White,Not Capture,Not Promotion
2482,Be4#,Bishop,e4,White,Not Capture,Not Promotion
2491,Qc8#,Queen,c8,Black,Not Capture,Not Promotion
2493,Qf2#,Queen,f2,Black,Not Capture,Not Promotion
2494,Qg5#,Queen,g5,Black,Not Capture,Not Promotion
2495,Qc8#,Queen,c8,White,Not Capture,Not Promotion
2498,Re1#,Rook,e1,Black,Not Capture,Not Promotion
2501,Ra7#,Rook,a7,White,Not Capture,Not Promotion
2508,Qg7#,Queen,g7,White,Not Capture,Not Promotion
2509,Qxf2#,Queen,f2,Black,Capture,Not Promotion
2511,Qg8#,Queen,g8,White,Not Capture,Not Promotion
2520,Qxf6#,Queen,f6,White,Capture,Not Promotion
2523,Qxh3#,Queen,h3,Black,Capture,Not Promotion
2526,Bxf5#,Bishop,f5,White,Capture,Not Promotion
2533,Qh3#,Queen,h3,White,Not Capture,Not Promotion
2534,Qg4#,Queen,g4,White,Not Capture,Not Promotion
2558,Re8#,Rook,e8,White,Not Capture,Not Promotion
2559,Rxe8#,Rook,e8,White,Capture,Not Promotion
2565,Qd1#,Queen,d1,Black,Not Capture,Not Promotion
2568,Qc8#,Queen,c8,White,Not Capture,Not Promotion
2577,Rf1#,Rook,f1,Black,Not Capture,Not Promotion
2579,Qh2#,Queen,h2,Black,Not Capture,Not Promotion
2592,Qe1#,Queen,e1,Black,Not Capture,Not Promotion
2593,Qg7#,Queen,g7,White,Not Capture,Not Promotion
2598,Rg2#,Rook,g2,Black,Not Capture,Not Promotion
2601,Qd2#,Queen,d2,Black,Not Capture,Not Promotion
2604,Qc2#,Queen,c2,White,Not Capture,Not Promotion
2616,Qf4#,Queen,f4,Black,Not Capture,Not Promotion
2630,Qf7#,Queen,f7,White,Not Capture,Not Promotion
2634,Qa8#,Queen,a8,White,Not Capture,Not Promotion
2636,Qa5#,Queen,a5,Black,Not Capture,Not Promotion
2637,Rd8#,Rook,d8,White,Not Capture,Not Promotion
2647,h8=Q#,Pawn,h8,White,Not Capture,Promotion
2653,Qxf2#,Queen,f2,Black,Capture,Not Promotion
2660,Rg1#,Rook,g1,Black,Not Capture,Not Promotion
2665,dxc1=Q#,Pawn,c1,Black,Capture,Promotion
2666,Qgg1#,Queen,g1,White,Not Capture,Not Promotion
2683,Qa4#,Queen,a4,Black,Not Capture,Not Promotion
2687,Rh8#,Rook,h8,White,Not Capture,Not Promotion
2694,Qb6#,Queen,b6,White,Not Capture,Not Promotion
2697,Qhh1#,Queen,h1,White,Not Capture,Not Promotion
2704,Qa1#,Queen,a1,Black,Not Capture,Not Promotion
2712,Rh2#,Rook,h2,Black,Not Capture,Not Promotion
2715,Qh8#,Queen,h8,White,Not Capture,Not Promotion
2719,Qg2#,Queen,g2,Black,Not Capture,Not Promotion
2720,Qh1#,Queen,h1,Black,Not Capture,Not Promotion
2722,Rxa6#,Rook,a6,Black,Capture,Not Promotion
2737,Rh7#,Rook,h7,White,Not Capture,Not Promotion
2758,Rb1#,Rook,b1,Black,Not Capture,Not Promotion
2759,Qg7#,Queen,g7,White,Not Capture,Not Promotion
2766,Qd1#,Queen,d1,Black,Not Capture,Not Promotion
2769,Qxc8#,Queen,c8,White,Capture,Not Promotion
2771,Rf2#,Rook,f2,Black,Not Capture,Not Promotion
2777,Rh8#,Rook,h8,White,Not Capture,Not Promotion
2788,Re8#,Rook,e8,White,Not Capture,Not Promotion
2789,Rgf2#,Rook,f2,White,Not Capture,Not Promotion
2792,Qe5#,Queen,e5,White,Not Capture,Not Promotion
2795,Bf6#,Bishop,f6,White,Not Capture,Not Promotion
2797,a1=Q#,Pawn,a1,Black,Not Capture,Promotion
2800,Rxf1#,Rook,f1,Black,Capture,Not Promotion
2818,Rd5#,Rook,d5,Black,Not Capture,Not Promotion
2820,Rh2#,Rook,h2,Black,Not Capture,Not Promotion
2824,Qg4#,Queen,g4,Black,Not Capture,Not Promotion
2843,Qg1#,Queen,g1,Black,Not Capture,Not Promotion
2860,Be1#,Bishop,e1,Black,Not Capture,Not Promotion
2863,Qh2#,Queen,h2,Black,Not Capture,Not Promotion
2879,Re5#,Rook,e5,White,Not Capture,Not Promotion
2883,Qxc2#,Queen,c2,Black,Capture,Not Promotion
2886,Rh8#,Rook,h8,White,Not Capture,Not Promotion
2899,Rxh2#,Rook,h2,Black,Capture,Not Promotion
2900,Bxd4#,Bishop,d4,Black,Capture,Not Promotion
2919,Qh7#,Queen,h7,White,Not Capture,Not Promotion
2923,Qg4#,Queen,g4,White,Not Capture,Not Promotion
2925,Qg8#,Queen,g8,White,Not Capture,Not Promotion
2934,Qee8#,Queen,e8,White,Not Capture,Not Promotion
2935,Rb8#,Rook,b8,White,Not Capture,Not Promotion
2944,Q3e5#,Queen,e5,White,Not Capture,Not Promotion
2945,Rf7#,Rook,f7,White,Not Capture,Not Promotion
