1571,Qb2#,Queen,b2,Black,Not Capture,Not Promotion,2495,2554
1577,Re1#,Rook,e1,Black,Not Capture,Not Promotion,2418,2502
1580,Qg4#,Queen,g4,White,Not Capture,Not Promotion,2506,2513
1586,Qf2#,Queen,f2,Black,Not Capture,Not Promotion,2387,2526
1591,Qf8#,Queen,f8,White,Not Capture,Not Promotion,2413,2517
1598,Rf1#,Rook,f1,Black,Not Capture,Not Promotion,2307,2823
1605,Rxf8#,Rook,f8,White,Capture,Not Promotion,2459,2519
1606,Qxf5#,Queen,f5,White,Capture,Not Promotion,2606,2609
1607,Qg8#,Queen,g8,White,Not Capture,Not Promotion,2558,2574
1609,Ra1#,Rook,a1,Black,Not Capture,Not Promotion,2507,2526
1614,Rh8#,Rook,h8,White,Not Capture,Not Promotion,2500,2558
1618,Qg6#,Queen,g6,White,Not Capture,Not Promotion,2383,2506
1629,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2422,2600
1636,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2582,2715
1641,Qg1#,Queen,g1,Black,Not Capture,Not Promotion,2727,2806
1645,f6#,Pawn,f6,Black,Not Capture,Not Promotion,2615,2656
1651,Re1#,Rook,e1,Black,Not Capture,Not Promotion,2549,2563
1652,Rg8#,Rook,g8,White,Not Capture,Not Promotion,2718,2812
1665,Qe8#,Queen,e8,White,Not Capture,Not Promotion,2557,2606
1670,Qb8#,Queen,b8,White,Not Capture,Not Promotion,2497,2557
1689,Ng3#,Knight,g3,Black,Not Capture,Not Promotion,2344,2808
1700,Qg7#,Queen,g7,Black,Not Capture,Not Promotion,2388,2808
1705,Qe2#,Queen,e2,White,Not Capture,Not Promotion,2372,2538
1711,Qeb4#,Queen,b4,White,Not Capture,Not Promotion,2600,2671
1712,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2513,2581
